Name,Text,Emotion,ShowToast,ToastCount,Toast1,Toast2
???,Hahahaha!!!! To accept this message!! Grandma must be crying in heaven!,,,,,
Noah,What the… is this…?,1,,,,
???,Hahaha!!! Ah~ this is too funny~!,,,,,
???,"Hello, ‘Noah’?",,,,,
???,"We’re meeting for the first time, right?",,,,,
???,I think you’ve already met my friend ‘Adam’.,,,,,
???,Did you two have a good chat?,,,,,
Noah,Friend...? Who are you?,,,,,
???,"Oh dear, even ‘Noah’s Ark’ has seen better days~",,,,,
???,"You really don’t know anything about personal information leaks, do you?",,,,,
???,Didn’t Grandma tell you to ignore messages that aren’t accurate?,,TRUE,2,“Smishing and phishing crimes: Clicking on links from texts or emails can lead to personal information or money being stolen.”,“Ignore unverified texts and emails and use your phone's built-in security features to prevent these issues.”
Noah,What is going on right now?,,,,,
Noah,Who are you? Reveal your identity.,,,,,
Noah,What have you done to my computer?,,,,,
???,Ah~ this is boring.,,,,,
???,"If I tell you everything, it won’t be fun~",,,,,
???,"You, as a detective, should figure it out.",,,,,
???,"If you don’t want to do that, just live quietly helping people.",,,,,
???,Don’t disturb me.,,,,,
Noah,What do you mean…? Disturb?,,,,,
???,You’ve ruined everything!!!,,,,,
???,You and that hypocritical kid have messed up all my plans!!,,,,,
Noah,I don’t even know who you are.,,,,,
Noah,How could I have ruined your plans?,,,,,
???,Aren’t you a detective?,,,,,
???,Hurry up and figure it out.,,,,,
???,But what a pity! It’s already too late!,,,,,
???,"The friend who was helping you, I just killed him!",,,,,
Noah,What? You killed my friend?,,,,,
Noah,Are you serious?,,,,,
???,"Well... to be precise, I didn’t kill him myself.",,,,,
???,"When I accomplish my great task, then I’ll bring him back to life.",,,,,
???,"Until then, he can’t be saved.",,,,,
Noah,Your great task?,,,,,
Noah,Was impersonating Grandma and infecting my computer with a virus part of that task?,,,,,
???,"Exactly! It turned out to be too~ silly, though.",,,,,
Noah,What exactly is your goal?,,,,,
???,"Alright, let me give you one hint.",,,,,
???,I’m going to become a god in this world.,,,,,
Noah,What? How can a person become a god?,,,,,
???,You’ll find out in due time.,,,,,
???,Just sit back and watch helplessly as you suck your fingers at home.,,,,,
Noah,"If you harm others, I won’t just stand by and watch. ",,,,,
???,What can the forgotten ‘Noah’s Ark’ do?,,,,,
Noah,"Whatever your task is, if it harms this town, I’ll do whatever it takes to stop you.",,,,,
???,Do you really think so?,,,,,
???,"But what a pity, I can control you too.",,,,,
???,"You were already fooled just by me pretending to be Grandma, right?",,,,,
???,I’m really curious how long you can hold out.,,,,,
???,Can you hold on for a long time for my amusement? ,,,,,
