Name,Text,Emotion,ShowToast,ToastCount,Toast1,Toast2
Noah,Was there a competition for first place between the two students?,2,,,,
Teacher,"Oh, that could be it.",1,,,,
Teacher,"Actually, these two were competing for first place in the last test.",1,,,,
Noah,"Then, there might be a motive.",1,,,,
Noah,Are you sure the time you claim to have witnessed the phone was during the test?,1,,,,
Noah,You said you clearly saw them holding the phone,2,,,,
Noah,while you were working on another question?,2,,,,
Student2,...Y-Yes! I saw it clearly!,1,,,,
Noah,But would you really have had the time to see it so clearly during the test?,1,,,,
Student2,"...Well, I just saw it!",1,,,,
Noah,"Hmm... The phone you say they used, is this the one?",3,,,,
Noah,The one with the cheating material on the home screen...?,3,,,,
Student2,Y-Yes! That’s the one!,1,,,,
Noah,"Oh, really? I found this in your bag. How do you explain that?",1,,,,
Student2,"....No, I... I just...!",1,,,,
Noah,….,4,,,,
Student2,I just did what ‘Eve’ told me to do!,2,,,,
Student2,‘Eve’ said I could get first place,1,,,,
Student2,if I used a cheating phone and slipped it into their bag...,1,,,,
Noah,And you used the phone for cheating too?,4,,,,
Student2,"...Yes. But technically, it’s not really cheating, right?",1,,,,
Student2,Using AI like ‘Eve’ smartly is a good thing!,2,,,,
Noah,"Competing for good grades is fine,",4,,,,
Noah,But you shouldn’t involve others in wrongdoing.,4,,,,
Noah,Cheating is a violation of others' efforts and is an illegal act.,4,,,,
Noah,"While using AI well is important, if it's against exam rules, it’s still cheating.",4,,,,
Noah,"You’ve done wrong, so it’s best you explain the situation to your teacher.",4,,,,
Student2,"Ugh, so annoying... Fine!",1,,,,
Noah,!!!,2,,,,
Reward,“USB thrown by Student 2”,1,,,,
Student2,"Take this or throw it away, I don’t care anymore.",1,,,,
Student2,So annoying...,1,,,,
Teacher,What kind of attitude is that?,2,,,,
Teacher,"Thank you, Noah.",3,,,,
Teacher,"Thanks to you, we resolved this without any innocent students getting blamed.",3,,,,
Noah,Not at all. I’m glad it turned out well.,1,,,,
