Name,Text,Emotion,ShowToast,ToastCount,Toast1,Toast2,Toast3
Noah,The fire was easily extinguished using the fire extinguisher. ,smile,TRUE,1,"“Fire Extinguisher: Keep one at home or in your car in case of fire.""",,
Noah,And this is the cause of the fire.,smile,TRUE,1,,“Electric Outlet” ,
Noah,"When dust accumulates in an electric outlet, the risk of fire increases. ",curious,,,,,
Noah,"Also, If there’s water nearby, there’s a risk of electrocution. Be careful, please.",curious,,,,,
Noah,"Of course, Never insert anything other than a plug (like chopsticks) into an outlet.",curious,,,,,
Noah,"If there’s a fire, don’t hesitate to call 911.",smile,,,,,
Mayor,My goodness… So the homeowner caused the fire by plugging a ‘broken charger’ into the outlet! ,default,,,,,
Noah,"Yes, that’s right.",smile,,,,,
Noah,"Also, let them know that using too many plugs in one outlet can also cause a fire. ",curious,,,,,
Mayor,"Oh, thank you! Thank you so much!",happy,,,,,
Mayor,"As expected, ‘Noah’s Ark’ can solve anything!",happy,,,,,
Noah,"It’s nothing, just doing my job.",smile,,,,,
Mayor,I’m really grateful. Here’s the reward I promised.,happy,,,,,
Mayor,"I found an old newspaper while cleaning the attic,",default,,,,,
Mayor,And it has an article about the detective agency ‘Noah’s Ark.’,default,TRUE,1,,,“Old Newspaper” 
Mayor,"I thought you might find it interesting, so I brought it for you.",happy,,,,,
Noah,Oh… About my agency?,curious,,,,,
Noah,This is quite an old newspaper.,curious,,,,,
Noah,Thank you.,smile,,,,,
