Name,Text,Emotion,ShowToast,ToastCount,Toast1,Toast2
Teacher,"Hello, Noah. I’ve been waiting for you.",1,,,,
Noah,"Oh, hi. I heard you have something to ask me for?",1,,,,
Teacher,Yes... One of my students was reported for cheating.,2,,,,
Teacher,"There’s a witness, so I asked for details, but the student insists they didn’t do it.",2,,,,
Noah,Even though there’s a witness?,2,,,,
Teacher,"Yes. Usually, when there’s a witness, students admit to it quickly, but something feels off.",2,,,,
Teacher,I hope you can find out the truth or identify the real culprit.,2,,,,
Noah,Got it. Can I speak to the students first?,2,,,,
Student1,I didn’t do it! Really!,1,,,,
Student2,"Stop lying! Teacher, I saw it!",1,,,,
Student2,She totally did it!,1,,,,
Noah,….,2,,,,
Teacher,"Kids, quiet down. Don’t yell in front of our guest.",3,,,,
Teacher,"Now, you first, explain what happened.",3,,,,
Student1,"I was just taking the test, that’s all. I didn’t do anything!",1,,,,
Student2,No! I saw it! They were using their phone during class!,1,,,,
Noah,"Hmm.... If it was during the test, your head would have been down the whole time.",1,,,,
Noah,How could you have seen that? ,1,,,,
Student2,...I just saw it when I looked up! I’m sure of it!,1,,,,
Noah,"I see. Teacher, may I check the classroom for a moment?",1,,,,
